n_estimators,test_mse,final_train_mse,final_val_mse
50,0.33472980538074837,0.15041686010575497,0.17027419647933162
100,0.290305766672257,0.1255125299162367,0.1479009454732254
300,0.247489463688297,0.09361673619223193,0.12906195012950564
